"","id.sample_local_c","oc_usda.c729_w.pct","c.tot_usda.a622_w.pct","n.tot_usda.a623_w.pct","s.tot_usda.a624_w.pct","ph.h2o_usda.a268_index","bd_usda.a4_g.cm3","clay.tot_usda.a334_w.pct","silt.tot_usda.c62_w.pct","sand.tot_usda.c60_w.pct","caco3_usda.a54_w.pct","efferv_usda.a479_class","cec_usda.a723_cmolc.kg","ca.ext_usda.a722_cmolc.kg","mg.ext_usda.a724_cmolc.kg","k.ext_usda.a725_cmolc.kg","na.ext_usda.a726_cmolc.kg","wr.33kPa_usda.a415_w.pct","wr.1500kPa_usda.a417_w.pct","al.dith_usda.a65_w.pct","p.ext_usda.a652_mg.kg","p.ext_usda.a1070_mg.kg","k.ext_usda.a1065_mg.kg","ec_usda.a364_ds.m"
"1404","150752",9.86,9.86373,0.64791,0.02488,6.89,NA,20.65018,75.5,3.8,NA,"none",37.07298,40.33479,4.41417,0.67731,0,NA,35.07571,0.1372,NA,NA,NA,NA
"1405","150753",0.71,0.71132,0.0262,0,4.46,1.49989,14.70975,81,4.3,NA,"none",6.45256,0.84239,0.52365,0.22767,0,NA,11.32747,0.13232,NA,NA,NA,NA
"1406","150764",7.15,7.14701,0.55363,0.04101,5.75,NA,16.45082,79.8,3.7,NA,"none",24.4989,19.46898,5.07474,0.73513,0,NA,22.40811,0.2086,NA,NA,NA,NA
"1407","150774",1.3,1.29904,0.1112,0.00202,5.21,1.65578,16.8386,57.9,25.3,NA,"none",9.137,1.66086,0.98689,0.14442,0,NA,12.44374,0.14248,NA,NA,NA,NA
"1408","150795",9.87,9.87496,0.67322,0.0525,6.67,NA,15.84985,65.2,19,NA,"none",35.64743,37.59562,7.15659,0.75332,0,NA,26.29257,0.15202,NA,NA,NA,NA
"1409","150796",1.82,1.81531,0.21416,0.01616,4.5,1.30091,12.0771,61.3,26.6,NA,"none",8.33894,2.82315,0.87934,0.13884,0,NA,9.05858,0.16165,NA,NA,NA,NA
"1410","151698",0.36,0.35746,0.03916,0,6.46,NA,1.14196,1,97.9,NA,"none",2.8898,1.9726,0.21999,0.1787,0,NA,1.64835,0.00279,68.74869,NA,NA,0.049
"1411","151703",1.2484,3.8181,0.14926,0.02296,8.34,1.14354,26.08793,18,55.9,21.42965,"violent",12.44295,49.98982,7.11819,0.82578,0.05016,NA,14.43299,0.01941,NA,NA,NA,0.201
"1412","151714",0.6544,1.14785,0.11191,0.00411,8.32,1.63066,18.7341,20.5,60.8,4.12555,"violent",13.14597,46.52829,1.40924,0.46841,0,NA,7.84983,0.04261,NA,NA,NA,0.154
"1413","151716",0.2304,3.86639,0,0.00307,8.53,1.47055,31.6135,24.4,44,30.33273,"violent",8.7976,48.53728,3.94367,0.34313,0.04168,NA,8.86076,0.01949,NA,NA,NA,0.155
"1414","151719",1.248,1.59174,0.10963,0.02482,8.2,1.3005,26.18647,28.3,45.5,2.84759,"strong",17.63174,44.47629,3.6776,2.35413,0,NA,10.44003,0.10308,NA,NA,NA,0.25
"1415","151799",0.2908,0.37193,0.01036,0,8.01,1.48499,30.08148,22.2,47.7,0.65975,"strong",17.16034,22.36724,3.06526,0.59735,0.05122,NA,11.57895,0.08814,NA,NA,NA,0.168
"1416","151800",0.11,0.67581,0.06707,0,8.23,1.47257,25.93348,22.3,51.8,4.74889,"violent",13.90022,49.89907,3.25951,0.55581,0.08613,NA,9.71564,0.05787,NA,NA,NA,0.157
"1417","152566",3.66,3.66476,0.2182,0.02233,4.22,NA,11.68507,62.1,26.2,NA,"none",23.32767,0,0.04734,0.09468,0,NA,15.8926,0.91915,9.56406,NA,NA,NA
"1418","152567",2.9456,2.9557,0.17744,0.02028,4.55,NA,9.5331,57.6,32.9,0.12201,"very slight",16.63661,0,0,0.09347,0,NA,13.91659,1.23047,3.58358,NA,NA,NA
"1419","152573",4.6376,4.67304,0.4412,0.05262,5.77,NA,21.09368,56.5,22.4,0.27406,"very slight",23.25099,20.16846,1.7981,0.16034,0,NA,16.35879,0.34782,5.35675,NA,NA,NA
"1420","154635",0.1528,0.16045,0.01016,0,5.12,1.68148,17.29115,35.3,47.4,0.06262,"very slight",6.19194,1.68427,0.48937,0,0.02333,NA,8.83878,NA,0.32483,NA,NA,NA
"1421","155458",1.53,1.52691,0.07252,0.03122,5.24,1.5999,6.96603,28.4,64.6,NA,"none",5.86572,3.06162,0.92335,0.12149,0.0243,NA,4.18822,0.12074,58.92421,NA,NA,NA
"1422","155474",4.81,4.80665,0.28864,0,4.66,1.16724,11.38235,55.3,33.3,NA,"none",7.75108,1.65155,0.27913,0.16283,0,NA,7.79237,0.22379,102.81802,NA,NA,NA
"1423","155483",7.5728,8.72124,0.3647,0.05094,6.99,0.92963,10.7009,25.4,63.9,9.56066,"none",25.33775,41.88072,4.43195,0.46899,0.07035,NA,15.18453,0.08852,206.61627,NA,NA,NA
"1424","155484",4.0008,5.00997,0.07146,0.04328,7.9,1.54053,4.9366,17.8,77.3,8.41103,"strong",6.01002,44.25141,2.00933,0.23096,0.11548,NA,4.26982,0.06549,65.351,NA,NA,NA
"1425","155485",1.162,1.53725,0,0,8.05,1.74832,7.39399,22.8,69.8,3.1459,"strong",4.64472,38.7835,1.5318,0.2886,0.0222,NA,4.15086,0.08406,66.03935,NA,NA,NA
"1426","155491",3.4552,3.91343,0.09181,0.02421,7.52,1.42775,8.77878,24.7,66.5,3.78726,"slight",7.43223,19.92258,1.30377,0.20586,0,NA,5.19129,0.14461,218.15203,NA,NA,NA
"1427","155492",3.5096,3.95281,0.03525,0.01209,7.93,1.49905,9.29568,25.7,65,3.66515,"strong",6.63914,27.65332,0.99897,0.13622,0,NA,3.60387,0.13175,81.8182,NA,NA,NA
"1428","155497",5.9536,5.9778,0.5091,0.03055,6.03,0.99709,11.50339,26.3,62.2,0.22099,"none",20.77208,21.6008,2.593,0.54115,0.27057,NA,15.4608,0.17794,136.53202,NA,NA,NA
"1429","155498",3.9632,3.98412,0.26237,0.0081,6.29,1.30754,10.29286,25.5,64.2,0.13731,"none",14.64504,13.88711,1.49032,0.24839,0.06774,NA,3.53602,0.16189,129.55332,NA,NA,NA
"1430","155507",0.19,0.18682,0.00707,0,4.67,1.81486,16.58122,27.8,55.6,NA,"none",8.11751,1.53141,1.39219,0.11602,0,NA,3.87439,0.07654,22.99409,NA,NA,NA
"1431","155514",3.49,3.48525,0.24302,0.03038,7.29,1.16402,11.43305,25.6,63,NA,"none",11.94188,25.49274,1.55751,0.29776,0,NA,7.71257,0.08307,24.6765,NA,NA,NA
"1432","155515",1.8904,2.16854,0.10999,0.01715,7.68,1.37262,10.42016,23.8,65.8,2.32781,"strong",7.98971,30.79841,1.33108,0.2295,0,NA,5.05706,0.09787,16.78461,NA,NA,NA
"1433","161391",1.23,1.23329,0.0332,0,5.2,NA,4.45697,6.5,89,NA,"none",4.36369,1.22981,0.26015,0,0.02365,NA,2.45247,0.10462,NA,NA,NA,NA
"1434","161399",1.07,1.07171,0.01706,0.00602,4.53,NA,2.1802,8,89.8,NA,"none",3.5318,0.61405,0.47235,0.07085,0,NA,2.16696,0.0171,NA,NA,NA,NA
"1435","161400",1.24,1.2418,0.04324,0.00201,4.36,NA,3.43402,7.3,89.3,NA,"none",5.39546,0.13681,0.27363,0.0456,0,NA,2.87921,0.06584,NA,NA,NA,NA
"1436","161401",6.47,6.47445,0.2942,0.01136,4.3,NA,3.21009,6,90.8,NA,"none",32.13437,0.14131,0.18841,0.07065,0.02355,NA,13.40766,1.19327,NA,NA,NA,NA
"1437","161402",6.05,6.04859,0.2059,0,4.39,NA,3.42151,7.6,89,NA,"none",32.38943,0.37564,0.09391,0.04695,0,NA,12.21364,1.32086,NA,NA,NA,NA
"1438","161403",2.37,2.37371,0.07736,0,4.73,NA,2.05436,4.8,93.1,NA,"none",12.46894,0.13368,0.02228,0.02228,0,NA,5.14548,0.80637,NA,NA,NA,NA
"1439","161408",2.13,2.12633,0.05338,0.00705,4.56,NA,3.87403,5.7,90.4,NA,"none",6.11228,1.12213,0.24394,0.09758,0,NA,4.01575,0.0732,NA,NA,NA,NA
"1440","161990",3.226,3.52155,0.33685,0.04416,7.83,1.31291,25.25848,70.5,4.2,2.45125,"very slight",24.26837,36.02997,8.69174,1.3115,0,NA,14.83516,0.06981,244.19254,256.4394,605.60967,0.413
"1441","161991",0.5152,0.67337,0.10234,0,7.83,1.52431,25.38753,71.6,3,1.29435,"very slight",18.92431,19.65951,7.74962,0.4905,0,NA,13.33333,0.0718,34.87303,41.57495,227.7357,0.49
"1442","161999",0.4364,0.80217,0.06966,0,7.89,1.3971,22.64697,74.8,2.6,3.02525,"very slight",18.7403,19.07521,10.36781,0.58239,0,NA,12.23709,0.05703,10.23046,14.26984,257.23581,0.215
"1443","162009",1.28,2.39393,0.16397,0.00922,8.01,1.37195,29.63058,32.2,38.2,9.25174,"violent",19.71504,63.28046,1.37782,0.66414,0,NA,14.68531,0.04123,1.83366,7.37716,233.52444,0.3
"1444","162010",0.568,2.43541,0.05228,0,8.14,1.4535,32.85861,34.5,32.6,15.60204,"violent",18.60471,65.0224,1.67013,0.56946,0,NA,13.09524,0.03431,1.27151,5.68079,200.23251,0.222
"1445","162399",3.79,3.79117,0.36292,0.01538,7.42,1.18707,19.81035,70.8,9.4,NA,"none",29.43416,31.86812,4.83335,0.84734,0,NA,14.54248,0.06049,28.75672,40.06592,265.22508,0.296
"1446","162400",2.79,2.79063,0.28674,0,7.36,1.22488,20.74945,71.3,8,NA,"none",26.13305,29.46512,3.79994,0.41017,0,NA,13.76147,0.05724,10.74695,17.60658,135.53587,0.191
"1447","162902",1.29,1.28794,0.06037,0,5.48,1.6591,5.90557,15.5,78.6,NA,"none",4.65589,2.3745,0.68901,0.24791,0,NA,2.97022,0.11646,34.76335,NA,NA,NA
"1448","162915",0.39,0.39165,0,0.003,6.75,NA,1.91019,3.4,94.7,NA,"none",1.12293,1.48804,0.73257,0.02289,0.09157,NA,0.95105,0.04382,88.44835,NA,NA,NA
"1449","162927",1.52,1.51527,0.11873,0.01006,4.81,1.72374,8.03491,43.6,48.4,NA,"none",4.82904,2.85491,0.32495,0.25532,0.04642,NA,4.00306,0.04903,41.27333,NA,NA,NA
"1450","162928",0.45,0.45449,0.00905,0,4.87,1.75262,11.93657,51.7,36.4,NA,"none",3.81577,1.54706,0.2344,0.1172,0.04688,NA,4.5702,0.03704,4.10248,NA,NA,NA
"1451","162934",1.17,1.16842,0.14335,0,4.5,1.75079,8.22507,41.1,50.7,NA,"none",4.21782,1.18859,0.23772,0.04754,0.04754,NA,4.15557,0.10901,16.24684,NA,NA,NA
"1452","165201",1.75,1.74824,0.16153,0.01227,5.75,NA,34.0656,61.6,4.3,NA,"none",24.12977,14.03918,5.61675,2.1177,0,NA,16.68126,0.14006,21.45771,27.36059,730.19045,0.213
"1453","166262",8.37,8.37145,0.35414,0.00106,5.31,0.68033,8.82501,38.6,52.6,NA,"none",44.71955,3.32908,0.51943,0.82637,0,NA,23.32033,1.3297,5.37866,NA,NA,NA
"1454","167701",0.22,0.21702,0,0.00804,5.13,NA,3.49022,7.4,89.1,NA,"none",1.84414,0.33293,0.19024,0,0.14268,4.86856,1.84944,NA,92.16031,NA,NA,NA
"1455","168211",4.18,4.17631,0.34027,0.02275,6.08,NA,24.34686,48.9,26.8,NA,"none",21.69868,15.40284,1.66268,0.27711,0,30.49744,15.84158,0.42584,81.19024,NA,NA,NA
"1456","168212",4.69,4.68865,0.39107,0.03744,6.27,NA,23.92,48.9,27.2,NA,"none",24.93569,19.94206,1.97331,0.11608,0,31.54914,17.78929,0.4295,29.19229,NA,NA,NA
"1457","168217",3.46,3.4649,0.2433,0.01237,6.42,NA,17.5219,45.3,37.2,NA,"none",17.13537,15.39171,1.42007,0.80165,0,30.87477,12.91204,0.48209,328.50594,NA,NA,NA
"1458","168225",4.37,4.3715,0.33867,0.02293,6.38,NA,24.5011,38.4,37.1,NA,"none",21.0113,18.88289,0.67689,0.32677,0,32.35601,19.23715,0.58676,1.60479,NA,NA,NA
